"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)"
"Georgechaoite","Georgechaoite","KNaZr^4+^Si_3_O_9_·2H_2_O","KNaZrSi_3_O_9_·2H_2_O"
"George-ericksenite","George-ericksenite","Na_6_CaMg(I^5+^O_3_)_6_(Cr^6+^O_4_)_2_·12H_2_O","Na_6_CaMg(IO_3_)_6_(CrO_4_)_2_·12H_2_O"
"Georgeite","Georgeite","Cu^2+^_2_CO_3_(OH)_2_","Cu_2_(CO_3_)(OH)_2_"
"Georgerobinsonite","Georgerobinsonite","Pb^2+^_4_(Cr^6+^O_4_)_2_(OH)_2_FCl","Pb_4_(CrO_4_)_2_(OH)_2_FCl"
"Georgiadesite","Georgiadesite","Pb^2+^_4_(As^3+^O_3_)Cl_4_(OH)","Pb_4_(As^3+^O_3_)Cl_4_(OH)"
"Gerasimovskite","Gerasimovskite","Mn^2+^Ti^4+^_3_Nb^5+^_2_O_12_·9H_2_O","Mn^2+^(Ti,Nb)_5_O_12_·9H_2_O (?)"
"Gerdtremmelite","Gerdtremmelite","Zn^2+^Al_2_As^5+^O_4_(OH)_5_","ZnAl_2_(AsO_4_)(OH)_5_"
"Gerenite-(Y)","Gerenite-(Y)","NaCaY^3+^_3_Si_6_O_18_·2H_2_O","(Ca,Na,[box])_2_Y_3_Si_6_O_18_·2H_2_O"
"Gerhardtite","Gerhardtite","Cu^2+^_2_N^5+^O_3_(OH)_3_","Cu_2_(NO_3_)(OH)_3_"
"Germanite","Germanite","Cu^1+^_8_Cu^2+^_5_Fe^3+^_2_Ge^4+^_2_S^2-^_16_","Cu_13_Fe_2_Ge_2_S_16_"
"Germanocolusite","Germanocolusite","Cu^1+^_9_Cu^2+^_4_V^3+^Ge^4+^_3_S^2-^_16_","Cu_13_VGe_3_S_16_"
"Gersdorffite-P2<sub>1</sub>3","Gersdorffite-P213","Ni^3+^(AsS)^3-^","NiAsS"
"Gersdorffite-Pa3","Gersdorffite-Pa3","Ni^3+^(AsS)^3-^","NiAsS"
"Gersdorffite-Pca2<sub>1</sub>","Gersdorffite-Pca21","Ni^3+^(AsS)^3-^","NiAsS"
"Gerstleyite","Gerstleyite","Na_2_(Sb,As)_8_S_13_·2H_2_O","Na_2_(Sb,As)_8_S_13_·2H_2_O"
"Gerstmannite","Gerstmannite","Mn^2+^MgZn^2+^SiO_4_(OH)_2_","Mn^2+^MgZn(SiO_4_)(OH)_2_"
"Geschieberite","Geschieberite","K_2_(U^6+^O_2_)(S^6+^O_4_)_2_·2H_2_O","K_2_(UO_2_)(SO_4_)_2_·2H_2_O"
"Getchellite","Getchellite","SbAsS_3_","SbAsS_3_"
"Geversite","Geversite","PtSb_2_","PtSb_2_"
"Ghiaraite","Ghiaraite","CaCl_2_·4H_2_O","CaCl_2_·4H_2_O"
"Gianellaite","Gianellaite","[(N^3-^Hg^2+^_2_)_2_](S^6+^O_4_)(H_2_O)_<i>x</i>_","(Hg_2_N)_2_(SO_4_)(H_2_O)_x_"
"Gibbsite","Gibbsite","Al(OH)_3_","Al(OH)_3_"
"Giessenite","Giessenite","(Cu,Fe)_2_Pb_26.4_(Bi,Sb)_19.6_S_57_","(Cu,Fe)_2_Pb_26.4_(Bi,Sb)_19.6_S_57_"
"Giftgrubeite","Giftgrubeite","CaMn^2+^_2_Ca_2_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O","CaMn_2_Ca_2_(AsO_4_)_2_(AsO_3_OH)_2_·4H_2_O"
"Gilalite","Gilalite","Cu^2+^_5_Si_6_O_17_·7H_2_O","Cu_5_Si_6_O_17_·7H_2_O"
"Gillardite","Gillardite","Cu^2+^_3_Ni^2+^Cl^1-^_2_(OH)_6_","Cu_3_NiCl_2_(OH)_6_"
"Gillespite","Gillespite","BaFe^2+^Si_4_O_10_","BaFe^2+^Si_4_O_10_"
"Gillulyite","Gillulyite","Tl_2_As_8_S_13_","Tl_2_As_7.5_Sb_0.3_S_13_"
"Gilmarite","Gilmarite","Cu^2+^_3_(As^5+^O_4_)(OH)_3_","Cu^2+^_3_(AsO_4_)(OH)_3_"
"Giniite","Giniite","Fe^2+^Fe^3+^_4_(PO_4_)_4_(OH)_2_·2H_2_O","Fe^2+^Fe^3+^_4_(PO_4_)_4_(OH)_2_·2H_2_O"
"Ginorite","Ginorite","Ca_2_B_14_O_20_(OH)_6_·5H_2_O","Ca_2_B_14_O_20_(OH)_6_·5H_2_O"
"Giorgiosite","Giorgiosite","Mg_5_(CO_3_)_4_(OH)_2_·5H_2_O","Mg_5_(CO_3_)_4_(OH)_2_·5H_2_O"
"Giraudite","Giraudite","Cu^1+^_6_[Cu^1+^_4_(Fe^2+^,Zn^2+^)_2_]As^3+^_4_Se^2-^_13_","Cu_6_[Cu_4_(Fe,Zn)_2_]As_4_Se_13_"
"Girvasite","Girvasite","NaCa_2_Mg_3_(PO_4_)_2_[PO_2_(OH)_2_]CO_3_(OH)_2_·4H_2_O","NaCa_2_Mg_3_(PO_4_)_2_[PO_2_(OH)_2_](CO_3_)(OH)_2_·4H_2_O"
"Gismondine","Gismondine","Ca_2_(Si_4_Al_4_)O_16_·8H_2_O","Ca_2_(Si_4_Al_4_)O_16_·8H_2_O"
"Gittinsite","Gittinsite","CaZr^4+^Si_2_O_7_","CaZrSi_2_O_7_"
"Giuseppettite","Giuseppettite","Na_42_K_16_Ca_6_Si_48_Al_48_O_192_(S^6+^O_4_)_10_Cl_2_·5H_2_O","Na_42_K_16_Ca_6_Si_48_Al_48_O_192_(SO_4_)_10_Cl_2_·5H_2_O"
"Gjerdingenite-Ca","Gjerdingenite-Ca","K_2_Ca(Nb^5+^,Ti^4+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·6H_2_O","K_2_Ca(Nb,Ti)_4_(Si_4_O_12_)_2_(O,OH)_4_·6H_2_O"
"Gjerdingenite-Fe","Gjerdingenite-Fe","K_2_Fe^2+^(Nb^5+^,Ti^4+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·6H_2_O","K_2_Fe(Nb,Ti)_4_(Si_4_O_12_)_2_(O,OH)_4_·6H_2_O"
"Gjerdingenite-Mn","Gjerdingenite-Mn","K_2_Mn^2+^(Nb^5+^,Ti^4+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·6H_2_O","K_2_Mn(Nb,Ti)_4_(Si_4_O_12_)_2_(O,OH)_4_·6H_2_O"
"Gjerdingenite-Na","Gjerdingenite-Na","(K,Na)_2_Na(Nb^5+^,Ti^4+^)_4_(Si_4_O_12_)_2_(OH,O)_4_·5H_2_O","K_2_Na(Nb,Ti)_4_(Si_4_O_12_)_2_(OH,O)_4_·5H_2_O"
"Gladite","Gladite","CuPbBi_5_S_9_","CuPbBi_5_S_9_"
"Gladiusite","Gladiusite","Fe^3+^_2_Fe^2+^_4_PO_4_(OH)_11_·H_2_O","Fe^3+^_2_Fe^2+^_4_(PO_4_)(OH)_11_·H_2_O"
"Gladkovskyite","Gladkovskyite","MnTlAs_3_S_6_","MnTlAs_3_S_6_"
"Glagolevite","Glagolevite","Na(Mg,Al)_6_(Si_3_Al)O_10_(OH,O)_8_","Na(Mg,Al)_6_(Si_3_Al)O_10_(OH,O)_8_"
"Glauberite","Glauberite","Na_2_Ca(S^6+^O_4_)_2_","Na_2_Ca(SO_4_)_2_"
"Glaucocerinite","Glaucocerinite","Zn^2+^_1-x_Al_x_(S^6+^O_4_)_x/2_(OH)_2_·nH_2_O  (x<0.5, n>3x/2)","(Zn_1-x_Al_x_)(SO_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)"
"Glaucochroite","Glaucochroite","CaMn^2+^SiO_4_","CaMn^2+^(SiO_4_)"
"Glaucodot","Glaucodot","Co^3+^Fe^3+^(AsS)^3-^_2_","(Co_0.5_Fe_0.5_)AsS"
"Glaucophane","Glaucophane","[box]Na_2_(Mg_3_Al_2_)Si_8_O_22_(OH)_2_","[box]Na_2_(Mg_3_Al_2_)Si_8_O_22_(OH)_2_"
"Glaukosphaerite","Glaukosphaerite","Cu^2+^Ni^2+^CO_3_(OH)_2_","CuNi(CO_3_)(OH)_2_"
"Glikinite","Glikinite","Zn^2+^_3_O(S^6+^O_4_)_2_","Zn_3_O(SO_4_)_2_"
"Glucine","Glucine","CaBe_4_(PO_4_)_2_(OH)_4_·0.5H_2_O","CaBe_4_(PO_4_)_2_(OH)_4_·0.5H_2_O"
"Glushinskite","Glushinskite","Mg(C_2_)^6+^O_4_·2H_2_O","Mg(C_2_O_4_)·2H_2_O"
"Gmelinite-Ca","Gmelinite-Ca","Ca_2_(Si_8_Al_4_)O_24_·11H_2_O","Ca_2_(Si_8_Al_4_)O_24_·11H_2_O"
"Gmelinite-K","Gmelinite-K","K_4_(Si_8_Al_4_)O_24_·11H_2_O","K_4_(Si_8_Al_4_)O_24_·11H_2_O"
"Gmelinite-Na","Gmelinite-Na","Na_4_(Si_8_Al_4_)O_24_·11H_2_O","Na_4_(Si_8_Al_4_)O_24_·11H_2_O"
"Gobbinsite","Gobbinsite","Na_5_(Si_11_Al_5_)O_32_·11H_2_O","Na_5_(Si_11_Al_5_)O_32_·11H_2_O"
"Godlevskite","Godlevskite","(Ni,Fe)_9_S_8_","(Ni,Fe)_9_S_8_"
"Godovikovite","Godovikovite","(N^3-^H_4_)Al(S^6+^O_4_)_2_","(NH_4_)Al(SO_4_)_2_"
"Goedkenite","Goedkenite","Sr_2_Al(PO_4_)_2_(OH)","Sr_2_Al(PO_4_)_2_(OH)"
"Goethite","Goethite","Fe^3+^O(OH)","FeO(OH)"
"Gold","Gold","Au","Au"
"Goldfieldite","Goldfieldite","Cu^1+^_10_Te^4+^_4_S^2-^_13_","Cu_10_Te_4_S_13_"
"Goldichite","Goldichite","KFe^3+^(S^6+^O_4_)_2_·4H_2_O","KFe^3+^(SO_4_)_2_·4H_2_O"
"Goldmanite","Goldmanite","Ca_3_V^3+^_2_(SiO_4_)_3_","Ca_3_V^3+^_2_(SiO_4_)_3_"
"Goldquarryite","Goldquarryite","Cu^2+^Cd^2+^_2_Al_3_(PO_4_)_4_F_3_·10H_2_O","CuCd_2_Al_3_(PO_4_)_4_F_3_·10H_2_O"
"Goldschmidtite","Goldschmidtite","KNb^5+^O_3_","KNbO_3_"
"Golyshevite","Golyshevite","Na_10_Ca_9_Zr^4+^_3_Fe^2+^_2_SiNb^5+^(Si_3_O_9_)_2_(Si_9_O_27_)_2_(OH)_3_(CO_3_)·H_2_O","Na_10_Ca_9_Zr_3_Fe_2_SiNb(Si_3_O_9_)_2_(Si_9_O_27_)_2_(OH)_3_(CO_3_)·H_2_O"
"Gonnardite","Gonnardite","(Na,Ca)_2_(Si,Al)_5_O_10_·3H_2_O","(Na,Ca)_2_(Si,Al)_5_O_10_·3H_2_O"
"Gonyerite","Gonyerite","Mn^2+^_5_Fe^3+^(Si_3_Fe^3+^O_10_)(OH)_8_","Mn^2+^_5_Fe^3+^(Si_3_Fe^3+^O_10_)(OH)_8_"
"Goosecreekite","Goosecreekite","Ca(Si_6_Al_2_)O_16_·5H_2_O","Ca(Si_6_Al_2_)O_16_·5H_2_O"
"Gorbunovite","Gorbunovite","CsLi_2_(Ti,Fe)Si_4_O_10_(F,OH,O)_2_","CsLi_2_(Ti,Fe)Si_4_O_10_(F,OH,O)_2_"
"Gorceixite","Gorceixite","BaAl_3_(PO_4_)(PO_3_OH)(OH)_6_","BaAl_3_(PO_4_)(PO_3_OH)(OH)_6_"
"Gordaite","Gordaite","NaZn^2+^_4_(S^6+^O_4_)(OH)_6_Cl·6H_2_O","NaZn_4_(SO_4_)(OH)_6_Cl·6H_2_O"
"Gordonite","Gordonite","MgAl_2_(PO_4_)_2_(OH)_2_·8H_2_O","MgAl_2_(PO_4_)_2_(OH)_2_·8H_2_O"
"Görgeyite","Gorgeyite","K_2_Ca_5_(S^6+^O_4_)_6_·H_2_O","K_2_Ca_5_(SO_4_)_6_·H_2_O"
"Gormanite","Gormanite","Fe^2+^_3_Al_4_(PO_4_)_4_(OH)_6_·2H_2_O","Fe^2+^_3_Al_4_(PO_4_)_4_(OH)_6_·2H_2_O"
"Gortdrumite","Gortdrumite","Cu_24_Fe_2_Hg_9_S_23_","Cu_24_Fe_2_Hg_9_S_23_"
"Goryainovite","Goryainovite","Ca_2_(PO_4_)Cl","Ca_2_(PO_4_)Cl"
"Goslarite","Goslarite","Zn^2+^S^6+^O_4_·7H_2_O","Zn(SO_4_)·7H_2_O"
"Gottardiite","Gottardiite","Na_3_Mg_3_Ca_5_Al_19_Si_117_O_272_·93H_2_O","Na_3_Mg_3_Ca_5_Al_19_Si_117_O_272_·93H_2_O"
"Gottlobite","Gottlobite","CaMg(V^5+^O_4_)(OH)","CaMg(VO_4_)(OH)"
"Götzenite","Gotzenite","Ca_4_NaCa_2_Ti^4+^(Si_2_O_7_)_2_(OF)F_2_","Ca_4_NaCa_2_Ti(Si_2_O_7_)_2_(OF)F_2_"
"Goudeyite","Goudeyite","Cu^2+^_6_Al(As^5+^O_4_)_3_(OH)_6_·3H_2_O","Cu_6_Al(AsO_4_)_3_(OH)_6_·3H_2_O"
"Gowerite","Gowerite","Ca[B_5_O_8_(OH)][B(OH)_3_]·3H_2_O","Ca[B_5_O_8_(OH)][B(OH)_3_]·3H_2_O"
"Goyazite","Goyazite","SrAl_3_(PO_4_)(PO_3_OH)(OH)_6_","SrAl_3_(PO_4_)(PO_3_OH)(OH)_6_"
"Graemite","Graemite","Cu^2+^Te^4+^O_3_·H_2_O","Cu^2+^(Te^4+^O_3_)·H_2_O"
"Graeserite","Graeserite","Fe^3+^_4_Ti^4+^_3_As^3+^O_13_(OH)","Fe^3+^_4_Ti_3_As^3+^O_13_(OH)"
"Graftonite","Graftonite","Fe^2+^Fe^2+^_2_(P^5+^O_4_)_2_","Fe^2+^Fe^2+^_2_(PO_4_)_2_"
"Graftonite-(Ca)","Graftonite-(Ca)","CaFe^2+^_2_(PO_4_)_2_","CaFe^2+^_2_(PO_4_)_2_"
"Graftonite-(Mn)","Graftonite-(Mn)","Mn^2+^Fe^2+^_2_(PO_4_)_2_","MnFe^2+^_2_(PO_4_)_2_"
"Gramaccioliite-(Y)","Gramaccioliite-(Y)","(Pb^2+^,Sr)(Y^3+^,Mn^2+^)Fe^3+^_2_(Ti^4+^,Fe^3+^)_18_O_38_","(Pb,Sr)(Y,Mn)Fe^3+^_2_(Ti,Fe^3+^)_18_O_38_"
"Grandaite","Grandaite","Sr^2+^_2_Al(As^5+^O_4_)_2_(OH)","Sr_2_Al(AsO_4_)_2_(OH)"
"Grandidierite","Grandidierite","MgAl_3_O_2_(BO_3_)SiO_4_","MgAl_3_O_2_(BO_3_)(SiO_4_)"
"Grandreefite","Grandreefite","Pb^2+^_2_(S^6+^O_4_)F_2_","Pb_2_(SO_4_)F_2_"
"Grandviewite","Grandviewite","Cu^2+^_3_Al_9_(S^6+^O_4_)_2_(OH)_29_","Cu_3_Al_9_(SO_4_)_2_(OH)_29_"
"Grantsite","Grantsite","(Na,Ca)_2+x_(V^5+^,V^4+^)_6_O_16_·4H_2_O","(Na,Ca)_2+x_(V^5+^,V^4+^)_6_O_16_·4H_2_O"
"Graphite","Graphite","C","C"
"Graţianite","Gratianite","Mn^2+^Bi^3+^_2_S^2-^_4_","MnBi_2_S_4_"
"Gratonite","Gratonite","Pb_9_As_4_S_15_","Pb_9_As_4_S_15_"
"Grattarolaite","Grattarolaite","Fe^3+^_3_O_3_PO_4_","Fe^3+^_3_O_3_(PO_4_)"
"Graulichite-(Ce)","Graulichite-(Ce)","CeFe^3+^_3_(As^5+^O_4_)_2_(OH)_6_","CeFe^3+^_3_(AsO_4_)_2_(OH)_6_"
"Gravegliaite","Gravegliaite","Mn^2+^S^4+^O_3_·3H_2_O","Mn^2+^(S^4+^O_3_)·3H_2_O"
"Grayite","Grayite","Th^3+^PO_4_·H_2_O","(Th,Pb,Ca)(PO_4_)·H_2_O"
"Grechishchevite","Grechishchevite","Hg^2+^_3_S^2-^_2_Br^1-^Cl^1-^_0.5_I^1-^_0.5_","Hg_3_S_2_BrCl_0.5_I_0.5_"
"Greenalite","Greenalite","(Fe^2+^,Fe^3+^)_2-3_Si_2_O_5_(OH)_4_","(Fe^2+^,Fe^3+^)_2-3_Si_2_O_5_(OH)_4_"
"Greenlizardite","Greenlizardite","(N^3-^H_4_)Na(U^6+^O_2_)_2_(S^6+^O_4_)_2_(OH)_2_·4H_2_O","(NH_4_)Na(UO_2_)_2_(SO_4_)_2_(OH)_2_·4H_2_O"
"Greenockite","Greenockite","Cd^2+^S^2-^","CdS"
"Greenwoodite","Greenwoodite","Ba_2-x_(V^3+^OH)_x_V^3+^_9_(Fe^3+^,Fe^2+^)_2_Si_2_O_22_","Ba_2-x_(V^3+^OH)_x_V^3+^_9_(Fe^3+^,Fe^2+^)_2_Si_2_O_22_"
"Gregoryite","Gregoryite","Na_2_CO_3_","Na_2_(CO_3_)"
"Greifensteinite","Greifensteinite","Ca_2_Fe^2+^_5_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O","Ca_2_Be_4_Fe^2+^_5_(PO_4_)_6_(OH)_4_·6H_2_O"
"Greigite","Greigite","Fe^2+^Fe^3+^_2_S_4_","Fe^2+^Fe^3+^_2_S_4_"
"Grenmarite","Grenmarite","Na_2_Zr^4+^_2_Na_2_Mn^2+^Zr^4+^(Si_2_O_7_)_2_O_2_F_2_","Na_2_Zr_2_Na_2_MnZr(Si_2_O_7_)_2_O_2_F_2_"
"Griceite","Griceite","LiF","LiF"
"Grigorievite","Grigorievite","Cu^2+^_3_Fe^3+^_2_Al_2_(V^5+^O_4_)_6_","Cu_3_Fe^3+^_2_Al_2_(VO_4_)_6_"
"Grimaldiite","Grimaldiite","Cr^3+^O(OH)","CrO(OH)"
"Grimselite","Grimselite","K_3_Na(U^6+^O_2_)(CO_3_)_3_·H_2_O","K_3_Na(UO_2_)(CO_3_)_3_·H_2_O"
"Griphite","Griphite","Ca(Mn^2+^,Na,Li)_6_Fe^2+^Al_2_(PO_4_)_6_(F,OH)_2_","Ca(Mn^2+^,Na,Li)_6_Fe^2+^Al_2_(PO_4_)_6_(F,OH)_2_"
"Grischunite","Grischunite","NaCa_2_Mn^2+^_5_Fe^3+^(As^5+^O_4_)_6_·2H_2_O","NaCa_2_Mn^2+^_5_Fe^3+^(AsO_4_)_6_·2H_2_O"
"Groatite","Groatite","NaCaMn^2+^_2_(PO_4_)[PO_3_(OH)]_2_","NaCaMn_2_(PO_4_)[PO_3_(OH)]_2_"
"Grootfonteinite","Grootfonteinite","Pb^2+^_3_O(CO_3_)_2_","Pb_3_O(CO_3_)_2_"
"Grossite","Grossite","CaAl_4_O_7_","CaAl_4_O_7_"
"Grossmanite","Grossmanite","CaTi^3+^AlSiO_6_","Ca(Ti^3+^,Mg,Ti^4+^)AlSiO_6_"
"Grossular","Grossular","Ca_3_Al_2_(SiO_4_)_3_","Ca_3_Al_2_(SiO_4_)_3_"
"Groutite","Groutite","Mn^3+^O(OH)","Mn^3+^O(OH)"
"Grumantite","Grumantite","NaSi_2_O_4_(OH)·H_2_O","NaSi_2_O_4_(OH)·H_2_O"
"Grumiplucite","Grumiplucite","HgBi_2_S_4_","HgBi_2_S_4_"
"Grundmannite","Grundmannite","Cu^1+^Bi^3+^Se^2-^_2_","CuBiSe_2_"
"Grunerite","Grunerite","[box]Fe^2+^_2_Fe^2+^_5_Si_8_O_22_(OH)_2_","[box]Fe^2+^_2_Fe^2+^_5_Si_8_O_22_(OH)_2_"
"Gruzdevite","Gruzdevite","Cu_6_Hg_3_Sb_4_S_12_","Cu_6_Hg_3_Sb_4_S_12_"
"Guanacoite","Guanacoite","Cu^2+^_2_Mg_3_(As^5+^O_4_)_2_(OH)_4_·4H_2_O","Cu_2_Mg_3_(OH)_4_(AsO_4_)_2_·4H_2_O"
"Guanajuatite","Guanajuatite","Bi_2_Se_3_","Bi_2_Se_3_"
"Guanine","Guanine","C_5_H_3_(NH_2_)N_4_O","C_5_H_3_(NH_2_)N_4_O"
"Guarinoite","Guarinoite","Zn^2+^_6_S^6+^O_4_(OH)_10_·5H_2_O","Zn_6_(SO_4_)(OH)_10_·5H_2_O"
"Gudmundite","Gudmundite","FeSbS","FeSbS"
"Guérinite","Guerinite","Ca_5_(As^5+^O_3_OH)_2_(As^5+^O_4_)_2_·9H_2_O","Ca_5_(AsO_3_OH)_2_(AsO_4_)_2_·9H_2_O"
"Guettardite","Guettardite","PbSbAsS_4_","Pb_8_(Sb_0.56_As_0.44_)_16_S_32_"
"Gugiaite","Gugiaite","Ca_2_BeSi_2_O_7_","Ca_2_BeSi_2_O_7_"
"Guidottiite","Guidottiite","Mn^2+^_2_Fe^3+^(SiFe^3+^)O_5_(OH)_4_","Mn_2_Fe^3+^(SiFe^3+^)O_5_(OH)_4_"
"Guildite","Guildite","Cu^2+^Fe^3+^(S^6+^O_4_)_2_(OH)·4H_2_O","CuFe^3+^(SO_4_)_2_(OH)·4H_2_O"
"Guilleminite","Guilleminite","Ba(U^6+^O_2_)_3_(Se^4+^O_3_)_2_O_2_·3H_2_O","Ba(UO_2_)_3_(Se^4+^O_3_)_2_O_2_·3H_2_O"
"Guimarãesite","Guimaraesite","Ca_2_Zn^2+^_5_Be_4_(P^5+^O_4_)_6_(OH)_4_·6H_2_O","Ca_2_Be_4_Zn_5_(PO_4_)_6_(OH)_4_·6H_2_O"
"Guite","Guite","Co^2+^Co^3+^_2_O_4_","Co^2+^Co^3+^_2_O_4_"
"Gunningite","Gunningite","Zn^2+^S^6+^O_4_·H_2_O","Zn(SO_4_)·H_2_O"
"Günterblassite","Gunterblassite","(K,Ca)_3-x_Fe^2+^[(Si,Al)_13_O_25_(OH,O)_4_]·7H_2_O","(K,Ca,Ba,Na,[box])_3_Fe[(Si,Al)_13_O_25_(OH,O)_4_]·7H_2_O"
"Gunterite","Gunterite","Na_4_(H_2_O)_16_(H_2_V^5+^_10_O_28_)·6H_2_O","Na_4_(H_2_O)_16_(H_2_V_10_O_28_)·6H_2_O"
"Gupeiite","Gupeiite","Fe_3_Si","Fe_3_Si"
"Gurimite","Gurimite","Ba_3_(V^5+^O_4_)_2_","Ba_3_(VO_4_)_2_"
"Gustavite","Gustavite","AgPbBi_3_S_6_","AgPbBi_3_S_6_"
"Gutkovaite-Mn","Gutkovaite-Mn","CaK_2_Mn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·5H_2_O","CaK_2_Mn(Ti,Nb)_4_(Si_4_O_12_)_2_(O,OH)_4_·5H_2_O"
"Guyanaite","Guyanaite","Cr^3+^O(OH)","CrO(OH)"
"Gwihabaite","Gwihabaite","(N^3-^H_4_)N^5+^O_3_","(NH_4_)(NO_3_)"
"Gypsum","Gypsum","CaS^6+^O_4_·2H_2_O","Ca(SO_4_)·2H_2_O"
"Gyrolite","Gyrolite","NaCa_16_(Si_23_Al)O_60_(OH)_8_·14H_2_O","NaCa_16_(Si_23_Al)O_60_(OH)_8_·14H_2_O"
"Gysinite-(Nd)","Gysinite-(Nd)","Pb^2+^Nd^3+^(CO_3_)_2_(OH)·H_2_O","PbNd(CO_3_)_2_(OH)·H_2_O"
"Haapalaite","Haapalaite","2[(Fe^2+^,Ni^2+^)S^2-^]·1.61[(Mg,Fe^2+^)(OH)_2_]","2[(Fe,Ni)S]·1.61[(Mg,Fe)(OH)_2_]"
"Hafnon","Hafnon","Hf^4+^SiO_4_","Hf(SiO_4_)"
"Hagendorfite","Hagendorfite","NaCaMn^2+^Fe^2+^_2_(P^5+^O_4_)_3_","NaCaMn^2+^Fe^2+^_2_(PO_4_)_3_"
"Haggertyite","Haggertyite","BaMgFe^2+^_4_Fe^3+^_2_Ti^4+^_5_O_19_","BaFe^2+^_4_Fe^3+^_2_Ti_5_MgO_19_"
"Häggite","Haggite","V^3+^V^4+^O_2_(OH)_3_","V^3+^V^4+^O_2_(OH)_3_"
"Haidingerite","Haidingerite","Ca(As^5+^O_3_OH)·H_2_O","Ca(AsO_3_OH)·H_2_O"
"Haigerachite","Haigerachite","KFe^3+^_3_(H_2_P^5+^O_4_)_6_(HP^5+^O_4_)_2_·4H_2_O","KFe^3+^_3_(H_2_PO_4_)_6_(HPO_4_)_2_·4H_2_O"
"Haineaultite","Haineaultite","(Na,Ca)_5_Ca(Ti^4+^,Nb^5+^)_5_Si_12_O_34_(OH,F)_8_·5H_2_O","(Na,Ca)_5_Ca(Ti,Nb)_5_Si_12_O_34_(OH,F)_8_·5H_2_O"
"Hainite-(Y)","Hainite-(Y)","(Ca_3_Y^3+^)Na(NaCa)Ti^4+^(Si_2_O_7_)_2_(OF)F_2_","(Ca_3_Y)Na(NaCa)Ti(Si_2_O_7_)_2_(OF)F_2_"
"Haiweeite","Haiweeite","Ca(U^6+^O_2_)_2_Si_5_O_12_(OH)_2_·6H_2_O","Ca(UO_2_)_2_(Si_5_O_12_)(OH)_2_·6H_2_O"
"Hakite","Hakite","Cu^1+^_10_Hg^2+^_2_Sb^3+^_4_Se^2-^_13_","Cu_6_[Cu_4_Hg_2_]Sb_4_Se_13_"
"Halamishite","Halamishite","Ni_5_P_4_","Ni_5_P_4_"
"Håleniusite-(La)","Haleniusite-(La)","LaOF","LaOF"
"Halite","Halite","NaCl","NaCl"
"Hallimondite","Hallimondite","Pb^2+^_2_(U^6+^O_2_)(As^5+^O_4_)_2_·nH_2_O","Pb_2_(UO_2_)(AsO_4_)_2_·nH_2_O"
"Halloysite-10Å","Halloysite-10A","Al_2_Si_2_O_5_(OH)_4_·2H_2_O","Al_2_Si_2_O_5_(OH)_4_·2H_2_O"
"Halloysite-7Å","Halloysite-7A","Al_2_Si_2_O_5_(OH)_4_","Al_2_Si_2_O_5_(OH)_4_"
"Halotrichite","Halotrichite","Fe^2+^Al_2_(S^6+^O_4_)_4_·22H_2_O","Fe^2+^Al_2_(SO_4_)_4_·22H_2_O"
"Halurgite","Halurgite","Mg_2_[B_4_O_5_(OH)_4_]_2_·H_2_O","Mg_2_[B_4_O_5_(OH)_4_]_2_·H_2_O"
"Hambergite","Hambergite","Be_2_BO_3_(OH)","Be_2_(BO_3_)(OH)"
"Hammarite","Hammarite","Cu_2_Pb_2_Bi_4_S_9_","Cu_2_Pb_2_Bi_4_S_9_"
"Hanauerite","Hanauerite","AgHgSI","AgHgSI"
"Hanawaltite","Hanawaltite","Hg^1+^_6_Hg^2+^O_3_Cl^1-^_2_","Hg^1+^_6_Hg^2+^O_3_Cl_2_"
"Hancockite","Hancockite","CaPb^2+^Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)","CaPb(Al_2_Fe^3+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Hanjiangite","Hanjiangite","Ba_2_Ca(V^3+^Al)(AlSi_3_O_10_)(OH)_2_F(CO_3_)_2_","Ba_2_Ca(V^3+^Al)(AlSi_3_O_10_)(OH)_2_F(CO_3_)_2_"
"Hanksite","Hanksite","KNa_22_(S^6+^O_4_)_9_(CO_3_)_2_Cl^1-^","KNa_22_(SO_4_)_9_(CO_3_)_2_Cl"
"Hannayite","Hannayite","(N^3-^H_4_)_2_Mg_3_(P^5+^O_3_OH)_4_·8H_2_O","(NH_4_)_2_Mg_3_(PO_3_OH)_4_·8H_2_O"
"Hannebachite","Hannebachite","(CaS^4+^O_3_)_2_·H_2_O","Ca(SO_3_)·0.5H_2_O"
"Hansblockite","Hansblockite","(Cu,Hg)(Bi,Pb)Se_2_","(Cu,Hg)(Bi,Pb)Se_2_"
"Hansesmarkite","Hansesmarkite","Ca_2_Mn^2+^_2_Nb^5+^_6_O_19_·20H_2_O","Ca_2_Mn_2_Nb_6_O_19_·20H_2_O"
